id,location_id,address_1,address_2,city,state_province,postal_code,country
139322,1,1209 N. Calvert Street,,Baltimore,MD,21202,United States
143144,2,1209 N. Calvert Street,,Baltimore,MD,21202,United States
143181,3,108 East 20Th Street,,Baltimore,MD,21218,United States
138946,4,108 E. 20Th Street,,Baltimore,MD,21218,United States
142940,5,2720 Martin Luther King Avenue,,"Washington, D.C.",DC,20032,United States
143183,6,116 Slade Avenue,,Pikesville,MD,21208,United States
139344,7,116 Slade Avenue,,Pikesville,MD,21208,United States
142859,8,32 West Washington Street,,Hagerstown,MD,21740,United States
143206,9,800 North Fulton Avenue,2Nd Floor,Baltimore,MD,21217,United States
139360,10,800 North Fulton Avenue,2Nd Floor,Baltimore,MD,21217,United States
